transaction_id,vendor_id,invoice_number,txn_date,amount,currency,gl_account,description
T000056,V0145,INV-49824,03/28/2024,1123.73,GBP,6100,Software licence
T000057,V0143,INV-64548,19 Aug 2024,160.27,GBP,6400,Ad spend
T000058,V0116,INV-68028,31/10/2024,287.11,GBP,6400,Ad spend
T000059,V0079,INV-84531,2024-03-02,580.79,GBP,6400,Advisory fee
T000060,V0026,INV-37235,08/04/2024,1179.80,GBP,6200,Advisory fee
T000061,V0021,INV-30585,09/02/2024,238.15,GBP,6100,Freight
T000062,V0020,INV-30517,2024-01-03,£328.91,GBP,6300,Ad spend
T000063,V0177,INV-87832,2025-04-26,119.47,GBP,6200,Software licence
T000064,V0060,INV-47762,10/16/2024,108.22,GBP,6500,Ad spend
T000065,V0019,INV-40595,2024-09-27,986.12,GBP,6500,Freight
T000066,V0170,INV-35928,2025-03-11,9500.00,GBP,6000,Freight
T000067,V0058,INV-94886,01 Jun 2024,372.71,GBP,6200,Office supplies
T000068,V0019,INV-17816,18 Jun 2024,1216.69,GBP,6200,Freight
T000069,V0192,INV-84607,10/22/2024,600.52,GBP,6300,Software licence
T000070,V0120,INV-49857,02/16/2025,198.42,GBP,6200,Freight
T000071,V0139,INV-74722,2025-03-24,600.36,GBP,6000,Freight
T000072,V0011,INV-66626,26/11/2024,2190.4,GBP,6400,Air travel
T000073,V0007,INV-21970,22 Aug 2024,387.84,GBP,6500,Freight
T000074,V0151,INV-12719,2024-10-02,2255.46,GBP,6400,Software licence
T000075,V0196,INV-32962,26 Apr 2025,22.61,GBP,6400,Advisory fee
T000076,V0114,INV-46458,07/04/2024,996.34,GBP,6400,Ad spend
T000077,V0163,INV-74451,03 Apr 2024,443.97,GBP,6300,Air travel
T000078,V0105,INV-53687,2024-11-24,290.35,GBP,6500,Software licence
T000079,V0042,INV-53228,2025-02-25,446.28,GBP,6500,Ad spend
T000080,V0074,INV-96846,2025-02-14,45.32,GBP,6400,Software licence
T000081,V0117,INV-21542,18 Nov 2024,316.83,GBP,6200,Air travel
T000082,V0030,INV-62976,10 Jun 2025,597.54,GBP,6000,Advisory fee
T000083,V0139,INV-70552,27 Feb 2025,"£2,050.18",GBP,6000,Office supplies
T000084,V0133,INV-57419,2025-05-25,228.13,GBP,6500,Ad spend
T000085,V0195,INV-16764,27/07/2024,165.78,GBP,6200,Freight
T000086,V0034,INV-47752,24/03/2025,£232.31,GBP,6500,Ad spend
T000087,V0032,INV-13783,09/02/2024,"£1,104.27",GBP,6500,Office supplies
T000088,V0080,INV-82199,2024-01-15,£579.19,GBP,6400,Ad spend
T000089,V0024,INV-39451,04/26/2024,£225.26,GBP,6300,Software licence
T000090,V0166,INV-30181,2025-05-25,709.52,GBP,6500,Air travel
T000091,V0131,INV-45838,03/01/2025,448.89,GBP,6300,Ad spend
T000092,V0063,INV-69871,28 May 2024,"£1,170.88",GBP,6300,Office supplies
T000093,V0154,INV-76616,19 May 2024,£186.37,GBP,6000,Air travel
T000094,V0198,INV-64387,14/12/2024,281.34,GBP,6400,Air travel
T000095,V0001,INV-47072,01 Nov 2024,262.09,GBP,6400,Freight
T000096,V0169,INV-74178,06/01/2024,80.65,GBP,6300,Freight
T000097,V0124,INV-55236,06 Dec 2024,558.77,GBP,6400,Freight
T000098,V0097,INV-69682,2024-11-25,537.62,GBP,6100,Advisory fee
T000099,V0062,INV-84946,27/01/2025,405.70,GBP,6100,Ad spend
T000100,V0012,INV-51704,04/29/2025,£311.67,GBP,6500,Ad spend
T000101,V0099,INV-96991,04/06/2024,85.04,GBP,6300,Software licence
T000102,V0033,INV-75836,05/12/2024,253.99,GBP,6000,Ad spend
T000103,V0026,INV-78937,04/12/2025,276.72,GBP,6000,Advisory fee
T000104,V0037,INV-63736,07 Jun 2024,166.92,GBP,6000,Ad spend
T000105,V0068,INV-54375,02/11/2025,337.84,GBP,6500,Software licence
T000106,V0085,INV-98389,24/01/2025,629.2,GBP,6200,Advisory fee
T000107,V0184,INV-73956,06/02/2024,"3,212.50",GBP,6400,Software licence
T000108,V0061,INV-92727,21 Oct 2024,488.84,GBP,6100,Advisory fee
T000109,V0024,INV-66881,10 Apr 2024,535.56,GBP,6500,Advisory fee
T000110,V0026,INV-68153,19 Jun 2024,371.71,GBP,6500,Air travel
T000111,V0008,INV-16028,2024-11-28,48.88,GBP,6000,Air travel
T000112,V0092,INV-59131,03/17/2025,£391.83,GBP,6100,Office supplies
T000113,V0136,INV-64008,2024-07-03,£431.06,GBP,6100,Office supplies
T000114,V0021,INV-89887,26/01/2025,"6,060.61",GBP,6400,Advisory fee
T000115,V0062,INV-75230,26/05/2024,326.49,GBP,6100,Ad spend
T000116,V0164,INV-43289,15 Apr 2025,562.11,GBP,6200,Advisory fee
T000117,V0003,INV-70981,2024-10-21,388.32,GBP,6500,Freight
T000118,V0041,INV-19681,28 Mar 2025,,GBP,6200,Freight
T000119,V0077,INV-93746,10/03/2025,1418.15,GBP,6500,Air travel
T000120,V0117,INV-49599,22 Jul 2024,922.54,GBP,6300,Ad spend
T000121,V0028,INV-41091,25 Jan 2025,963.08,GBP,6400,Air travel
T000122,V0148,INV-48780,10/29/2024,148.36,GBP,6000,Advisory fee
T000123,V0102,INV-45976,01/09/2024,"1,887.62",GBP,6400,Advisory fee
T000124,V0200,INV-16428,23/05/2025,86.31,GBP,6200,Office supplies
T000125,V0156,INV-56179,2024-08-12,769.35,GBP,6500,Office supplies
T000126,V0159,INV-42850,2024-05-20,"4,489.52",GBP,6500,Software licence
T000127,V0161,INV-94717,2024-02-10,£135.70,GBP,6200,Ad spend
T000128,V0009,INV-85965,08 Jan 2025,216.39,GBP,6500,Office supplies
T000129,V0024,INV-48680,30 Nov 2024,450.17,GBP,6500,Ad spend
T000130,,INV-36318,15/05/2024,231.87,GBP,6400,Air travel
T000131,V0136,INV-75771,2024-10-06,73.28,GBP,6100,Air travel
T000132,V0124,INV-48684,12 Dec 2024,435.03,GBP,6000,Ad spend
T000133,V0020,INV-28449,08/19/2024,125.39,GBP,6500,Advisory fee
T000134,V0173,INV-62089,01/09/2025,£679.22,GBP,6000,Ad spend
T000135,V0004,INV-44663,06/05/2024,£146.74,GBP,6300,Air travel
T000136,V0173,INV-98125,25 Sep 2024,"2,219.26",GBP,6400,Ad spend
T000137,V0164,INV-58689,2024-04-20,£170.45,GBP,6500,Office supplies
T000138,V0121,INV-13280,01 Dec 2024,£283.08,GBP,6400,Office supplies
T000139,V0166,INV-18285,2025-04-20,£987.20,GBP,6500,Air travel
T000140,V0167,INV-63516,04/29/2024,104.17,GBP,6100,Software licence
T000141,V0010,INV-49893,2025-05-19,518.12,GBP,6000,Software licence
T000142,V0061,INV-80457,05/18/2024,"£1,699.11",GBP,6300,Ad spend
T000143,V0095,INV-97881,2025-03-05,68.84,GBP,6400,Advisory fee
T000144,V0187,INV-30253,02/28/2025,494.28,GBP,6500,Software licence
T000145,V0126,INV-90694,21/02/2025,536.93,GBP,6200,Software licence
T000146,V0177,INV-58566,2024-08-10,953.37,GBP,6300,Ad spend
T000147,V0061,INV-57537,04/11/2024,103.48,GBP,6500,Air travel
T000148,V0140,INV-94518,2025-01-02,94.4,GBP,6000,Ad spend
T000149,V0071,INV-34878,2024-05-05,716.33,GBP,6300,Software licence
T000150,V0170,INV-37801,01/22/2024,559.30,GBP,6000,Air travel
T000151,V0063,INV-26505,07/29/2024,531.41,GBP,6000,Freight
T000152,V0054,INV-86858,2024-08-09,£590.57,GBP,6100,Air travel
T000153,V0199,INV-29340,03/01/2024,190.94,GBP,6200,Office supplies
T000154,V0034,INV-80807,2024-09-13,£520.86,GBP,6100,Software licence
T000155,V0170,INV-13379,14/05/2024,556.90,GBP,6000,Air travel
T000156,V0061,INV-87182,27 Nov 2024,183.87,GBP,6000,Office supplies
T000157,V0068,INV-16868,05/09/2024,3141.17,GBP,6500,Ad spend
T000158,V0135,INV-24896,2024-03-06,679.40,GBP,6300,Ad spend
T000159,V0200,INV-57453,09/06/2025,108.81,GBP,6400,Software licence
T000160,V0116,INV-76039,2024-08-14,830.65,GBP,6400,Software licence
T000161,V0187,INV-96363,17 Jun 2025,138.08,GBP,6200,Ad spend
T000162,V0165,INV-14082,2024-03-03,£958.91,GBP,6300,Ad spend
T000163,V0110,INV-99928,2024-04-20,1442.96,GBP,6300,Advisory fee
T000164,V0114,INV-19632,03/23/2024,£163.57,GBP,6200,Freight
T000165,V0038,INV-18609,09 May 2024,"1,164.11",GBP,6200,Freight
T000166,V0163,INV-86724,28 Nov 2024,635.28,GBP,6300,Freight
T000167,V0136,INV-48652,09 Apr 2025,996.52,GBP,6400,Freight
T000168,V0111,INV-22999,04/27/2024,3250.20,GBP,6500,Advisory fee
T000169,V0197,INV-82264,08/08/2024,£307.99,GBP,6300,Ad spend
T000170,V0059,INV-64239,13/12/2024,£176.07,GBP,6300,Ad spend
T000171,V0107,INV-22463,16 Nov 2024,151.64,GBP,6300,Air travel
T000172,V0171,INV-43408,01/18/2025,164.45,GBP,6100,Advisory fee
T000173,V0122,INV-18799,03/04/2024,370.62,GBP,6000,Software licence
T000174,V0111,INV-22656,2025-01-16,587.14,GBP,6100,Freight
T000175,V0016,INV-86869,03/12/2024,546.95,GBP,6500,Software licence
T000176,V0106,INV-56346,09 Mar 2025,"1,002.15",GBP,6500,Software licence
T000177,V0074,INV-88696,15/11/2024,409.24,GBP,6200,Software licence
T000178,V0148,INV-76507,08/05/2024,"1,995.97",GBP,6100,Advisory fee
T000179,V0124,INV-39392,2024-04-20,301.53,GBP,6200,Freight
T000180,V0095,INV-25058,12/10/2024,8040.01,GBP,6400,Office supplies
T000181,V0110,INV-83526,01/27/2024,802.90,GBP,6400,Advisory fee
T000182,V0178,INV-45054,01/30/2024,157.14,GBP,6100,Air travel
T000183,V0180,INV-50499,12/13/2024,£124.22,GBP,6200,Software licence
T000184,V0047,INV-28776,02/14/2025,685.89,GBP,6000,Office supplies
T000185,V0190,INV-92991,01/02/2024,£315.51,GBP,6000,Advisory fee
T000186,V0136,INV-38197,20/01/2025,884.83,GBP,6300,Ad spend
T000187,V0088,INV-30631,13 Jan 2025,£678.96,GBP,6200,Advisory fee
T000188,V0084,INV-84395,03/27/2024,372.37,GBP,6000,Office supplies
T000189,V0041,INV-90981,20 Feb 2024,158.94,GBP,6500,Software licence
T000190,V0070,INV-68079,03/10/2025,76.22,GBP,6300,Freight
T000191,V0114,INV-64287,06 Oct 2024,246.86,GBP,6100,Freight
T000192,V0030,INV-55242,16 Mar 2025,"1,034.88",GBP,6000,Air travel
T000193,V0174,INV-98930,2025-05-13,510.56,GBP,6400,Advisory fee
T000194,V0079,INV-15952,2024-08-13,102.48,GBP,6300,Freight
T000195,V0015,INV-11007,07/28/2024,488.09,GBP,6200,Office supplies
T000196,V0197,INV-27987,2024-09-18,£616.37,GBP,6200,Air travel
T000197,V0031,INV-11013,05/24/2025,152.59,GBP,6500,Ad spend
T000198,V0045,INV-26932,24/01/2025,477.75,GBP,6400,Advisory fee
T000199,V0059,INV-75570,28/12/2024,430.11,GBP,6000,Ad spend
T000200,V0190,INV-15544,2025-03-22,114.75,GBP,6000,Ad spend
T000201,V0020,INV-51033,15 Mar 2025,597.99,GBP,6400,Ad spend
T000202,V0182,INV-93904,03/03/2025,£747.60,GBP,6200,Software licence
T000203,V0104,INV-12733,2024-11-28,1327.9,GBP,6100,Freight
T000204,V0118,INV-57428,03/31/2024,,GBP,6300,Software licence
T000205,V0063,INV-67104,2025-02-14,88.64,GBP,6400,Software licence
T000206,V0102,INV-50668,13 Dec 2024,£143.80,GBP,6100,Air travel
T000207,V0200,INV-32037,19/03/2024,710.9,GBP,6400,Advisory fee
T000208,V0030,INV-79547,06/06/2025,709.93,GBP,6100,Air travel
T000209,V0090,INV-94599,2024-05-31,£710.91,GBP,6100,Software licence
T000210,V0038,INV-43550,21 Jul 2024,"27,945.31",GBP,6100,Freight
T000211,V0040,INV-95918,18 Mar 2024,755.95,GBP,6100,Advisory fee
T000212,V0127,INV-70811,04/04/2025,1406.87,GBP,6500,Freight
T000213,V0165,INV-93269,2024-11-26,1152.17,GBP,6500,Air travel
T000214,,INV-67640,03/10/2024,825.95,GBP,6300,Ad spend
T000215,V0162,INV-49691,08 Oct 2024,285.20,GBP,6400,Software licence
T000216,V0091,INV-76497,2024-03-16,£929.70,GBP,6200,Ad spend
T000217,V0116,INV-14929,28 Feb 2024,172.41,GBP,6200,Air travel
T000218,V0020,INV-94497,02 Apr 2024,310.91,GBP,6400,Freight
T000219,V0130,INV-60394,2025-04-18,236.54,GBP,6400,Freight
T000220,V0190,INV-15376,05 Apr 2025,441.45,GBP,6400,Advisory fee
T000221,V0049,INV-52143,02/05/2025,"£5,146.77",GBP,6400,Office supplies
T000222,V0016,INV-69050,04/15/2024,£51.73,GBP,6200,Advisory fee
T000223,V0022,INV-76132,25 Jun 2024,£858.24,GBP,6000,Office supplies
T000224,V0182,INV-67377,25 Mar 2025,68.44,GBP,6400,Freight
T000225,V0157,INV-30807,07 Jan 2025,240.06,GBP,6200,Air travel
T000226,V0100,INV-63578,12/12/2024,1336.55,GBP,6500,Freight
T000227,V0014,INV-92691,12/08/2024,432.99,GBP,6000,Air travel
T000228,V0025,INV-83133,30 Jan 2025,£123.28,GBP,6200,Air travel
T000229,V0186,INV-96057,02 Jun 2024,183.67,GBP,6200,Software licence
T000230,V0150,INV-96980,24 May 2024,851.98,GBP,6200,Air travel
T000231,V0168,INV-96787,2025-02-05,180.66,GBP,6100,Freight
T000232,V0182,INV-21104,2024-11-13,£511.89,GBP,6400,Ad spend
T000233,V0165,INV-53054,10/05/2024,£424.17,GBP,6500,Advisory fee
T000234,V0190,INV-99838,06/23/2025,197.01,GBP,6000,Advisory fee
T000235,V0172,INV-65496,2025-06-04,"£4,265.60",GBP,6200,Software licence
T000236,V0093,INV-50483,03 Jul 2024,810.22,GBP,6100,Air travel
T000237,V0197,INV-73736,07/15/2024,43.48,GBP,6100,Office supplies
T000238,V0040,INV-20114,10/29/2024,495.27,GBP,6000,Freight
T000239,V0198,INV-80748,23/06/2025,194.81,GBP,6000,Advisory fee
T000240,V0087,INV-91006,2024-05-14,"1,030.37",GBP,6400,Ad spend
T000241,V0040,INV-31266,04/07/2024,168.72,GBP,6500,Freight
T000242,V0043,INV-67366,14/02/2024,£355.59,GBP,6300,Air travel
T000243,V0174,INV-41133,03/30/2025,703.09,GBP,6400,Air travel
T000244,V0193,INV-68841,27/08/2024,"1,045.58",GBP,6400,Office supplies
T000245,V0080,INV-71474,07/17/2024,107.73,GBP,6200,Advisory fee
T000246,V0147,INV-67749,17 Apr 2025,£279.23,GBP,6200,Ad spend
T000247,V0129,INV-79135,04/03/2025,239.26,GBP,6100,Office supplies
T000248,V0155,INV-28140,13 Sep 2024,196.63,GBP,6000,Advisory fee
T000249,V0124,INV-58655,15/04/2024,2812.98,GBP,6500,Freight
T000250,V0032,INV-47363,03/26/2024,£629.85,GBP,6100,Air travel
T000251,V0116,INV-77286,05/30/2024,100.79,GBP,6300,Software licence
T000252,V0057,INV-69130,2024-12-23,"£1,107.26",GBP,6000,Ad spend
T000253,V0014,INV-61964,05/29/2025,4164.58,GBP,6200,Office supplies
T000254,V0099,INV-20696,18 Jan 2025,"1,256.03",GBP,6100,Software licence
T000255,V0082,INV-22987,2024-12-09,75.85,GBP,6100,Office supplies
T000256,V0010,INV-47601,28 Apr 2025,£236.83,GBP,6500,Office supplies
T000257,V0195,INV-71487,04/04/2025,1625.55,GBP,6400,Software licence
T000258,V0021,INV-12490,19 Sep 2024,185.22,GBP,6100,Office supplies
T000259,V0141,INV-89807,24 Jun 2025,657.34,GBP,6300,Software licence
T000260,V0199,INV-47762,2024-08-31,945.86,GBP,6200,Software licence
T000261,V0013,INV-41252,05/03/2025,145.53,GBP,6500,Freight
T000262,V0118,INV-18232,04/23/2024,377.86,GBP,6300,Freight
T000263,V0138,INV-12154,2025-06-11,£11.41,GBP,6400,Office supplies
T000264,V0184,INV-28818,25/10/2024,£130.74,GBP,6300,Software licence
T000265,V0158,INV-56244,03 Sep 2024,305.57,GBP,6400,Ad spend
T000266,V0048,INV-97080,28/03/2024,102.25,GBP,6400,Air travel
T000267,V0018,INV-78951,03 Jun 2025,2430.01,GBP,6400,Freight
T000268,V0006,INV-61177,26/04/2025,83.67,GBP,6000,Advisory fee
T000269,V0100,INV-58929,16 Sep 2024,248.63,GBP,6500,Software licence
T000270,V0092,INV-18855,19 Dec 2024,465.83,GBP,6100,Advisory fee
T000271,V0169,INV-92346,16 Apr 2024,9000.00,GBP,6400,Advisory fee
T000272,V0194,INV-53583,05/16/2024,£83.14,GBP,6000,Air travel
T000273,V0140,INV-54374,2024-06-28,1450.23,GBP,6500,Ad spend
T000274,V0179,INV-72722,05/07/2024,408.0,GBP,6100,Software licence
T000275,V0184,INV-69988,07/02/2024,137.05,GBP,6200,Office supplies
T000276,V0012,INV-36144,02/12/2024,£670.69,GBP,6200,Air travel
T000277,V0132,INV-62196,29/04/2025,502.18,GBP,6200,Software licence
T000278,V0193,INV-94790,2024-07-14,£208.46,GBP,6200,Air travel
T000279,V9294,INV-16265,05/12/2024,435.63,GBP,6200,Software licence
T000280,V0095,INV-67272,13 Feb 2025,264.05,GBP,6500,Ad spend
T000281,V0099,INV-54438,2024-07-10,457.08,GBP,6300,Advisory fee
T000282,V0128,INV-58148,15 Jun 2025,835.76,GBP,6200,Software licence
T000283,V0187,INV-65640,21 Mar 2024,2309.11,GBP,6300,Freight
T000284,V0047,INV-81496,2024-10-27,103.38,GBP,6200,Software licence
T000285,V0021,INV-52981,2024-10-29,"4,214.71",GBP,6200,Ad spend
T000286,V0155,INV-65851,19 Jun 2024,47.12,GBP,6500,Ad spend
T000287,V0090,INV-68606,13 Feb 2024,341.39,GBP,6500,Air travel
T000288,V0158,INV-67008,08/10/2024,£770.58,GBP,6500,Software licence
T000289,V0020,INV-97973,19 Feb 2025,549.55,GBP,6200,Freight
T000290,V0192,INV-99051,12/06/2024,203.37,GBP,6000,Office supplies
T000291,V0156,INV-98878,03/24/2025,320.88,GBP,6000,Office supplies
T000292,V9251,INV-40932,10 Jan 2025,234.56,GBP,6200,Ad spend
T000293,V0146,INV-14244,2024-06-06,210.97,GBP,6500,Ad spend
T000294,V0095,INV-58760,30 Mar 2025,1027.17,GBP,6000,Freight
T000295,V0036,INV-79397,01/10/2025,£597.48,GBP,6300,Air travel
T000296,V0167,INV-46528,2024-09-12,188.26,GBP,6000,Software licence
T000297,V0189,INV-34385,26 May 2025,"£1,085.24",GBP,6400,Ad spend
T000298,V0144,INV-25435,25/09/2024,565.68,GBP,6200,Advisory fee
T000299,V0115,INV-38124,2024-10-19,986.49,GBP,6500,Ad spend
T000300,V0052,INV-26074,05/18/2024,£806.41,GBP,6000,Ad spend
T000301,V0045,INV-68341,30/03/2024,162.08,GBP,6500,Air travel
T000302,V0171,INV-55537,03/07/2024,217.85,GBP,6400,Freight
T000303,V0075,INV-49315,2024-06-10,917.84,GBP,6500,Advisory fee
T000304,V0180,INV-93584,27/06/2024,789.51,GBP,6200,Freight
T000305,V0058,INV-25907,07/24/2024,£394.26,GBP,6100,Office supplies
T000306,V0127,INV-13445,04/01/2025,459.0,GBP,6400,Freight
T000307,V0095,INV-71263,12/05/2024,1644.89,GBP,6400,Software licence
T000308,V9384,INV-50539,11 Feb 2025,£210.45,GBP,6500,Advisory fee
T000309,V0123,INV-78903,2025-02-24,736.42,GBP,6300,Freight
T000310,V0019,INV-26426,20/11/2024,322.98,GBP,6500,Software licence
T000311,V0116,INV-71057,13/06/2025,317.52,GBP,6200,Office supplies
T000312,V0200,INV-82260,07/05/2024,"£1,351.07",GBP,6100,Ad spend
T000313,V0129,INV-17263,2024-05-07,"£1,000.20",GBP,6400,Office supplies
T000314,V0078,INV-31581,14/06/2024,987.19,GBP,6200,Advisory fee
T000315,V0058,INV-55353,15/06/2025,1696.0,GBP,6200,Software licence
T000316,V0065,INV-35729,10/08/2024,412.86,GBP,6100,Advisory fee
T000317,V0078,INV-90534,04/05/2024,854.19,GBP,6400,Advisory fee
T000318,V0044,INV-87569,06/06/2024,286.78,GBP,6100,Advisory fee
T000319,V0160,INV-89316,12/11/2024,576.27,GBP,6400,Software licence
T000320,V0008,INV-20646,16/02/2024,349.62,GBP,6500,Freight
T000321,V0068,INV-95344,03/08/2024,448.85,GBP,6400,Ad spend
T000322,V0159,INV-93753,01/02/2024,776.4,GBP,6300,Advisory fee
T000323,V0140,INV-47967,11/05/2024,164.01,GBP,6300,Office supplies
T000324,V0176,INV-63227,31/10/2024,"£4,030.42",GBP,6300,Software licence
T000325,V0177,INV-17852,06/10/2024,133.40,GBP,6300,Ad spend
T000326,V0124,INV-70875,07/27/2024,£106.10,GBP,6200,Freight
T000327,V0037,INV-50970,11/22/2024,"1,442.20",GBP,6500,Air travel
T000328,V0103,INV-27139,01/14/2025,963.75,GBP,6400,Freight
T000329,V0028,INV-51827,04 Sep 2024,£801.54,GBP,6300,Software licence
T000330,V0069,INV-68929,09/10/2024,805.27,GBP,6100,Software licence
T000331,V0013,INV-48038,28 Jan 2025,398.03,GBP,6400,Ad spend
T000332,V0064,INV-30932,2024-12-01,150.36,GBP,6400,Advisory fee
T000333,V0081,INV-34881,12 Jun 2024,438.51,GBP,6300,Freight
T000334,V0120,INV-75373,11/11/2024,191.54,GBP,6300,Software licence
T000335,V0024,INV-61543,06/01/2025,1179.25,GBP,6300,Office supplies
T000336,V0056,INV-86460,12/27/2024,343.17,GBP,6000,Software licence
T000337,V0073,INV-74866,26 Apr 2025,£162.71,GBP,6200,Freight
T000338,V0003,INV-24089,17/03/2025,£283.29,GBP,6100,Air travel
T000339,V0187,INV-57943,16 Feb 2025,£635.38,GBP,6200,Software licence
T000340,V0103,INV-16705,18 Jul 2024,£217.00,GBP,6200,Freight
T000341,V0074,INV-19637,30/01/2025,163.29,GBP,6400,Ad spend
T000342,V0196,INV-82070,2024-10-13,£527.45,GBP,6400,Advisory fee
T000343,V0157,INV-25572,11/05/2024,528.19,GBP,6000,Ad spend
T000344,V0096,INV-54444,01/09/2025,£230.99,GBP,6100,Office supplies
T000345,V0155,INV-76731,02/15/2025,240.29,GBP,6400,Software licence
T000346,V0012,INV-15100,20 May 2024,"9,999.00",GBP,6500,Air travel
T000347,V0122,INV-78069,04/12/2025,£82.03,GBP,6100,Freight
T000348,V0132,INV-28321,01/12/2024,85.78,GBP,6400,Air travel
T000349,V0042,INV-61505,11/02/2024,183.04,GBP,6400,Air travel
T000350,V0130,INV-76809,05/16/2025,319.01,GBP,6500,Freight
T000351,V0077,INV-72245,18 Jan 2024,£567.93,GBP,6200,Air travel
T000352,V0173,INV-24366,2025-03-02,"£2,044.47",GBP,6400,Air travel
T000353,V0186,INV-92478,28 Jan 2024,"1,036.31",GBP,6400,Ad spend
T000354,V0068,INV-95929,21/08/2024,£338.35,GBP,6500,Software licence
T000355,V0150,INV-72973,06/23/2024,395.08,GBP,6400,Advisory fee
T000356,V0185,INV-91230,01/24/2025,133.92,GBP,6100,Advisory fee
T000357,V0063,INV-14138,04/22/2024,£395.30,GBP,6100,Software licence
T000358,V0113,INV-51116,04/03/2025,293.68,GBP,6100,Ad spend
T000359,V0177,INV-36724,24/02/2025,575.36,GBP,6400,Freight
T000360,V0121,INV-18163,2024-05-21,£162.40,GBP,6400,Office supplies
T000361,V0144,INV-52604,04/05/2025,£714.28,GBP,6400,Ad spend
