vendor_id,vendor_name,category
V0146,  Umbrella Services 146 ,Consulting
V0147,Globex Holdings 147,Marketing
V0148,Umbrella Holdings 148,Marketing
V0149,Acme Holdings 149,Marketing
V0150,Globex Services 150,Facilities
V0151,Stark Group 151,Facilities
V0152,Umbrella Partners 152,Consulting
V0153,Stark LLP 153,Consulting
V0154,  Soylent Services 154 ,IT
V0155,Initech Partners 155,IT
V0156,SOYLENT SERVICES 156,Marketing
V0157,  Stark Ltd 157 ,Facilities
V0158,Acme Services 158,Facilities
V0159,GLOBEX LTD 159,Consulting
V0160,UMBRELLA HOLDINGS 160,Logistics
V0161,Soylent LLP 161,Marketing
V0162,stark ltd 162,IT
V0163,  Umbrella Group 163 ,Logistics
V0164,Soylent LLP 164,Facilities
V0165,Hooli Holdings 165,IT
V0166,Soylent Holdings 166,Marketing
V0167,Acme Partners 167,Facilities
V0168,Soylent Partners 168,Marketing
V0169,Globex LLP 169,Consulting
V0170,Soylent Ltd 170,Logistics
V0171,GLOBEX PARTNERS 171,Logistics
V0172,Initech Group 172,Logistics
V0173,Soylent Holdings 173,Travel
V0174,UMBRELLA PARTNERS 174,Marketing
V0175,Stark LLP 175,Logistics
V0176,soylent holdings 176,Consulting
V0177,Hooli Group 177,Logistics
V0178,Acme Ltd 178,Marketing
V0179,  Wayne Group 179 ,Logistics
V0180,acme ltd 180,Marketing
V0181,Stark LLP 181,Facilities
V0182,Soylent LLP 182,Consulting
V0183,hooli holdings 183,Marketing
V0184,  Wayne Holdings 184 ,Marketing
V0185,Acme Ltd 185,Travel
V0186,Globex Partners 186,Facilities
V0187,Initech Holdings 187,Consulting
V0188,Acme Group 188,Travel
V0189,Initech Services 189,Logistics
V0190,Initech Ltd 190,Marketing
V0191,  Soylent Group 191 ,Consulting
V0192,Acme Group 192,Facilities
V0193,Umbrella Partners 193,Travel
V0194,Umbrella Partners 194,Marketing
V0195,Globex Group 195,IT
V0196,Wayne Holdings 196,Consulting
V0197,initech llp 197,Travel
V0198,initech llp 198,Facilities
V0199,Wayne Ltd 199,Travel
V0200,Initech Partners 200,Travel
