transaction_id,vendor_id,invoice_number,txn_date,amount,currency,gl_account,description,__source_file,__issue,__check,control_total,actual_total,variance,reconciled
T004668,,INV-44047,2024-09-30,2519.68,GBP,6500,Advisory fee,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004710,V0091,INV-63087,2024-02-28,,GBP,6300,Office supplies,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004759,V0151,INV-60609,2024-05-10,,GBP,6400,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004782,,INV-32719,2024-04-27,555.97,GBP,6300,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004834,V0099,INV-57154,2024-08-20,,GBP,6400,Ad spend,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004944,V0147,INV-91098,2025-02-09,,GBP,6300,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004958,,INV-45462,2024-09-15,1294.78,GBP,6200,Freight,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T004960,,INV-82816,2024-07-13,701.63,GBP,6500,Software licence,transactions_2024_h1.csv,missing_critical_field,completeness,,,,
T005264,V0136,INV-65559,2024-05-01,,GBP,6100,Ad spend,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005425,V0185,INV-28294,2024-12-04,,GBP,6400,Advisory fee,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005447,V0041,INV-32624,2024-07-06,,GBP,6200,Software licence,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005471,,INV-96381,2024-05-30,2136.64,GBP,6100,Advisory fee,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005513,V0087,INV-14784,,813.52,GBP,6500,Office supplies,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005588,,INV-58423,2024-10-10,19.83,GBP,6500,Ad spend,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005612,V0170,INV-39730,2024-04-02,,GBP,6200,Advisory fee,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005648,V0089,INV-20283,2024-10-01,,GBP,6200,Ad spend,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005764,V0120,INV-71192,2024-08-11,,GBP,6100,Software licence,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005778,V0068,INV-63952,,272.72,GBP,6200,Freight,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005888,V0168,INV-22883,2025-06-07,,GBP,6100,Software licence,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005890,V0184,INV-88117,2024-02-07,,GBP,6000,Software licence,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005967,,INV-10325,2024-07-02,1028.89,GBP,6500,Air travel,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005968,V0088,INV-18329,,1550.36,GBP,6200,Air travel,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T005981,V0014,INV-79250,,134.52,GBP,6400,Software licence,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T006328,,INV-89942,2025-03-20,797.07,GBP,6200,Ad spend,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T006612,V0104,INV-14891,,1162.99,GBP,6500,Freight,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T006615,V0025,INV-51150,2025-02-02,,GBP,6100,Software licence,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T006633,V0076,INV-82449,2024-04-10,,GBP,6100,Advisory fee,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T006679,V0195,INV-38166,2025-06-20,,GBP,6200,Advisory fee,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T006917,V0089,INV-37591,2025-03-01,,GBP,6400,Ad spend,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T006928,,INV-80307,2025-10-01,116.26,GBP,6200,Air travel,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T006940,V0183,INV-38410,2025-05-26,,GBP,6200,Air travel,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007037,,INV-69643,2024-08-26,71.62,GBP,6000,Advisory fee,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007080,V0149,INV-92804,,339.64,GBP,6000,Air travel,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007181,V0059,INV-65456,,570.14,GBP,6000,Office supplies,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007215,V0135,INV-75645,2024-04-10,,GBP,6400,Freight,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007264,V0156,INV-59491,,1799.43,GBP,6100,Air travel,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007313,,INV-31997,2025-03-12,516.11,GBP,6300,Air travel,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007344,,INV-78950,2025-01-20,148.32,GBP,6200,Advisory fee,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007378,V0106,INV-37960,2024-03-24,,GBP,6400,Advisory fee,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007442,V0037,INV-83433,2024-01-31,,GBP,6400,Software licence,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007592,V0127,INV-19769,2025-06-12,,GBP,6300,Software licence,transactions_2024_h2.csv,missing_critical_field,completeness,,,,
T007707,V0124,INV-68829,2024-08-19,,GBP,6200,Ad spend,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T007747,V0111,INV-96514,2025-01-11,,GBP,6300,Advisory fee,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T007749,,INV-84494,2024-12-17,900.37,GBP,6400,Freight,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T007757,V0101,INV-95211,,140.94,GBP,6000,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T007988,,INV-58234,2024-07-22,273.88,GBP,6000,Ad spend,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008074,,INV-12642,2025-01-31,168.28,GBP,6500,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008076,,INV-55059,2024-06-16,477.92,GBP,6000,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008254,V0009,INV-73181,,130.62,GBP,6000,Air travel,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008369,V0048,INV-26125,,2414.08,GBP,6400,Advisory fee,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008403,V0178,INV-82045,2025-04-30,,GBP,6300,Air travel,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008407,V0181,INV-53903,2024-09-12,,GBP,6000,Air travel,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008580,V0130,INV-81525,,648.14,GBP,6400,Freight,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008592,,INV-47288,2024-01-05,66.68,GBP,6300,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008643,,INV-16784,2024-01-21,1418.99,GBP,6100,Office supplies,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008681,V0140,INV-24684,2024-05-23,,GBP,6400,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008694,,INV-75640,2024-06-05,353.71,GBP,6200,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008696,V0115,INV-15969,,1092.57,GBP,6400,Air travel,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008824,V0179,INV-56444,2024-12-28,,GBP,6300,Advisory fee,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T008865,V0180,INV-52382,,677.58,GBP,6000,Office supplies,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009006,,INV-86579,2025-04-21,113.15,GBP,6000,Office supplies,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009028,V0089,INV-88571,2024-09-05,,GBP,6400,Advisory fee,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009110,V0162,INV-89943,2024-03-01,,GBP,6000,Advisory fee,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009172,,INV-19567,2024-10-02,423.7,GBP,6200,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009366,,INV-99814,2024-03-30,77.41,GBP,6300,Air travel,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009484,,INV-51675,2025-01-22,545.94,GBP,6300,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009514,V0193,INV-34340,2024-08-31,,GBP,6500,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009575,V0191,INV-61659,2024-04-06,,GBP,6400,Software licence,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009785,V0130,INV-25040,2024-01-06,,GBP,6500,Advisory fee,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009826,,INV-71428,2024-02-21,74.62,GBP,6300,Ad spend,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T009967,V0034,INV-64618,,236.21,GBP,6400,Ad spend,transactions_2025.xlsx,missing_critical_field,completeness,,,,
T000279,V9294,INV-16265,2024-12-05,435.63,GBP,6200,Software licence,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T000292,V9251,INV-40932,2025-01-10,234.56,GBP,6200,Ad spend,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T000308,V9384,INV-50539,2025-02-11,210.45,GBP,6500,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T000392,V9756,INV-40870,2025-02-04,693.06,GBP,6200,Air travel,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T000831,V9988,INV-16599,2025-03-06,91.94,GBP,6100,Freight,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T000957,V9802,INV-85008,2024-05-30,588.16,GBP,6000,Office supplies,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T001050,V9767,INV-55039,2024-08-21,1841.07,GBP,6200,Air travel,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T001086,V9433,INV-75325,2025-01-15,647.45,GBP,6300,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T001105,V9972,INV-12798,2025-01-21,1365.12,GBP,6200,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T001476,V9882,INV-63961,2024-12-17,823.13,GBP,6500,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T001511,V9443,INV-49834,2025-05-20,114.91,GBP,6400,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T001724,V9581,INV-80041,2024-01-19,793.86,GBP,6000,Ad spend,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T001926,V9980,INV-93380,2024-09-07,146.74,GBP,6000,Freight,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T002127,V9842,INV-86072,2024-02-25,110.07,GBP,6500,Air travel,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T002210,V9587,INV-57775,2025-03-14,403.11,GBP,6100,Freight,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T002415,V9472,INV-23051,2024-05-09,1235.74,GBP,6400,Software licence,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T002507,V9965,INV-63026,2025-05-02,10342.37,GBP,6300,Software licence,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T002561,V9117,INV-84113,2025-05-08,132.25,GBP,6500,Air travel,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T002765,V9846,INV-11787,2024-06-02,532.98,GBP,6000,Freight,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003109,V9702,INV-59418,2025-06-21,662.26,GBP,6100,Office supplies,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003196,V9683,INV-23582,2024-10-27,51.01,GBP,6400,Freight,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003229,V9872,INV-50789,2024-12-29,950.78,GBP,6100,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003299,V9494,INV-15037,2024-05-26,113.44,GBP,6000,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003389,V9600,INV-30012,2024-05-25,1040.86,GBP,6500,Ad spend,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003477,V9929,INV-24756,2024-03-29,1182.75,GBP,6500,Office supplies,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003527,V9336,INV-75807,2024-07-04,324.49,GBP,6300,Air travel,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003765,V9726,INV-91405,2025-10-05,517.15,GBP,6400,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003830,V9521,INV-12660,2024-03-05,684.71,GBP,6400,Software licence,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T003924,V9127,INV-40025,2025-12-01,68.53,GBP,6200,Freight,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004030,V9576,INV-51182,2025-01-01,974.91,GBP,6500,Office supplies,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004034,V9611,INV-10060,2025-01-23,17.76,GBP,6000,Office supplies,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004054,V9353,INV-87150,2025-03-14,499.86,GBP,6300,Advisory fee,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004287,V9627,INV-92045,2024-10-23,243.86,GBP,6500,Freight,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004289,V9127,INV-28119,2024-06-13,2121.85,GBP,6000,Ad spend,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004293,V9821,INV-80791,2024-02-17,78.85,GBP,6300,Ad spend,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004327,V9156,INV-57227,2024-10-12,209.54,GBP,6200,Ad spend,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004646,V9932,INV-83966,2025-04-28,2387.33,GBP,6200,Ad spend,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004664,V9147,INV-28623,2024-05-03,240.22,GBP,6000,Air travel,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004817,V9353,INV-36792,2024-01-11,1724.09,GBP,6100,Software licence,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004821,V9601,INV-72703,2024-12-21,338.95,GBP,6200,Office supplies,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004844,V9249,INV-55436,2025-03-01,345.22,GBP,6500,Freight,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T004851,V9724,INV-60831,2024-09-17,22.48,GBP,6100,Office supplies,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T005004,V9243,INV-45290,2025-04-27,280.59,GBP,6100,Air travel,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T005049,V9744,INV-89921,2025-05-18,1385.82,GBP,6400,Software licence,transactions_2024_h1.csv,orphan_vendor_id,referential_integrity,,,,
T005340,V9827,INV-28135,2025-01-01,941.88,GBP,6400,Office supplies,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T005436,V9580,INV-66360,2024-12-28,205.56,GBP,6000,Air travel,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T005541,V9554,INV-41117,2024-11-30,2586.62,GBP,6200,Advisory fee,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T005724,V9802,INV-51423,2025-03-09,207.63,GBP,6000,Air travel,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T005731,V9183,INV-26136,2024-03-22,90000.0,GBP,6500,Freight,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T006004,V9748,INV-27103,2024-07-07,220.79,GBP,6500,Office supplies,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T006038,V9673,INV-75563,2025-03-15,62.52,GBP,6100,Advisory fee,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T006244,V9286,INV-65273,2024-05-09,1120.83,GBP,6300,Ad spend,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T006410,V9399,INV-93702,2024-07-04,492.84,GBP,6400,Ad spend,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T006488,V9818,INV-21855,2024-10-25,85.83,GBP,6500,Office supplies,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T006613,V9509,INV-40575,2024-09-24,104.71,GBP,6200,Air travel,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T006920,V9858,INV-69618,2024-08-22,389.68,GBP,6200,Freight,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T007058,V9111,INV-18870,2024-11-08,391.46,GBP,6400,Office supplies,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T007275,V9758,INV-46098,2025-12-05,1958.77,GBP,6500,Freight,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T007518,V9535,INV-93469,2024-07-16,307.33,GBP,6200,Advisory fee,transactions_2024_h2.csv,orphan_vendor_id,referential_integrity,,,,
T007654,V9905,INV-18419,2024-10-15,686.13,GBP,6300,Advisory fee,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T007900,V9616,INV-54103,2024-08-07,236.45,GBP,6100,Ad spend,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008113,V9715,INV-69325,2024-07-03,58.41,GBP,6000,Air travel,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008173,V9773,INV-82974,2024-11-02,538.48,GBP,6300,Software licence,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008234,V9552,INV-86839,2025-03-10,213.39,GBP,6400,Air travel,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008292,V9148,INV-15881,2025-02-18,90000.0,GBP,6500,Air travel,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008451,V9260,INV-76034,2024-07-17,58.5,GBP,6000,Air travel,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008689,V9566,INV-31230,2024-03-09,3793.07,GBP,6000,Ad spend,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008710,V9891,INV-98999,2024-08-25,154.22,GBP,6400,Air travel,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008762,V9682,INV-75563,2024-05-26,97.05,GBP,6200,Ad spend,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T008796,V9896,INV-76647,2024-03-31,54.75,GBP,6400,Advisory fee,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T009128,V9909,INV-47313,2025-05-19,164.71,GBP,6200,Ad spend,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T009276,V9615,INV-12240,2025-12-05,51.76,GBP,6200,Software licence,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T009381,V9324,INV-27262,2024-09-24,402.44,GBP,6200,Software licence,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T009635,V9547,INV-13874,2024-07-24,374.27,GBP,6500,Air travel,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T009671,V9694,INV-48448,2024-04-22,495.62,GBP,6500,Advisory fee,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T009734,V9806,INV-98082,2024-02-26,102.55,GBP,6500,Ad spend,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T009846,V9433,INV-87050,2024-09-09,310.3,GBP,6200,Advisory fee,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T009905,V9610,INV-41003,2024-04-19,1173.26,GBP,6400,Ad spend,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
T900089,V9665,INV-72711,2024-09-17,1075.43,GBP,6000,Office supplies,transactions_2025.xlsx,orphan_vendor_id,referential_integrity,,,,
,,,,,,6000,,,,reconciliation,1165902.41,2070919.53,905017.12,False
